Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls  ms/call  ms/call  name    
 19.15      0.27     0.27  9336692     0.00     0.00  std::type_info::hash_code() const
  4.96      0.34     0.07  4668315     0.00     0.00  ape::Transform& ape::World::getComponent<ape::Transform>(unsigned int)
  3.55      0.39     0.05 14005120     0.00     0.00  std::__detail::_Mod_range_hashing::operator()(unsigned long, unsigned long) const
  2.84      0.43     0.04 18673384     0.00     0.00  std::type_info::name() const
  2.84      0.47     0.04  9336690     0.00     0.00  std::__detail::_Map_base<std::type_index, std::pair<std::type_index const, int>, std::allocator<std::pair<std::type_index const, int> >, std::__detail::_Select1st, std::equal_to<std::type_index>, std::hash<std::type_index>, std::__detail::_Mod_range_hashing, std::__detail::_Default_ranged_hash, std::__detail::_Prime_rehash_policy, std::__detail::_Hashtable_traits<false, false, true>, true>::operator[](std::type_index&&)
  2.84      0.51     0.04  4668345     0.00     0.00  std::__detail::_Map_base<int, std::pair<int const, int>, std::allocator<std::pair<int const, int> >, std::__detail::_Select1st, std::equal_to<int>, std::hash<int>, std::__detail::_Mod_range_hashing, std::__detail::_Default_ranged_hash, std::__detail::_Prime_rehash_policy, std::__detail::_Hashtable_traits<false, false, true>, true>::operator[](int const&)
  2.48      0.55     0.04  9336691     0.00     0.00  std::tuple_element<0ul, std::pair<std::type_index const, int> >::type& std::get<0ul, std::type_index const, int>(std::pair<std::type_index const, int>&)
  2.13      0.58     0.03 14005071     0.00     0.00  std::__detail::_Hashtable_ebo_helper<0, std::__detail::_Select1st, true>::_S_cget(std::__detail::_Hashtable_ebo_helper<0, std::__detail::_Select1st, true> const&)
  2.13      0.61     0.03  9336692     0.00     0.00  std::__detail::_Hash_code_base<std::type_index, std::pair<std::type_index const, int>, std::__detail::_Select1st, std::hash<std::type_index>, std::__detail::_Mod_range_hashing, std::__detail::_Default_ranged_hash, false>::_M_bucket_index(std::type_index const&, unsigned long, unsigned long) const
  2.13      0.64     0.03  9336690     0.00     0.00  ape::World::_assertEntity(unsigned int)
  2.13      0.67     0.03  9336690     0.00     0.00  std::_Hashtable<std::type_index, std::pair<std::type_index const, int>, std::allocator<std::pair<std::type_index const, int> >, std::__detail::_Select1st, std::equal_to<std::type_index>, std::hash<std::type_index>, std::__detail::_Mod_range_hashing, std::__detail::_Default_ranged_hash, std::__detail::_Prime_rehash_policy, std::__detail::_Hashtable_traits<false, false, true> >::_M_find_before_node(unsigned long, std::type_index const&, unsigned long) const
  2.13      0.70     0.03  9336689     0.00     0.00  std::__detail::_Hashtable_base<std::type_index, std::pair<std::type_index const, int>, std::__detail::_Select1st, std::equal_to<std::type_index>, std::hash<std::type_index>, std::__detail::_Mod_range_hashing, std::__detail::_Default_ranged_hash, std::__detail::_Hashtable_traits<false, false, true> >::_M_equals(std::type_index const&, unsigned long, std::__detail::_Hash_node<std::pair<std::type_index const, int>, false>*) const
  2.13      0.73     0.03  9336610     0.00     0.00  void __gnu_cxx::new_allocator<float>::construct<float, float const&>(float*, float const&)
  2.13      0.76     0.03  4668325     0.00     0.00  bool ape::World::entityHasComponent<ape::Transform>(unsigned int)
  2.13      0.79     0.03  4668325     0.00     0.00  std::__detail::_Hashtable_base<int, std::pair<int const, int>, std::__detail::_Select1st, std::equal_to<int>, std::hash<int>, std::__detail::_Mod_range_hashing, std::__detail::_Default_ranged_hash, std::__detail::_Hashtable_traits<false, false, true> >::_M_equals(int const&, unsigned long, std::__detail::_Hash_node<std::pair<int const, int>, false>*) const
  1.77      0.81     0.03  9336691     0.00     0.00  std::type_index const& std::__pair_get<0ul>::__get<std::type_index const, int>(std::pair<std::type_index const, int>&)
  1.77      0.84     0.03 18673385     0.00     0.00  std::__detail::_Hash_node_value_base<std::pair<std::type_index const, int> >::_M_valptr()
  1.42      0.86     0.02  9336692     0.00     0.00  std::_Hashtable<std::type_index, std::pair<std::type_index const, int>, std::allocator<std::pair<std::type_index const, int> >, std::__detail::_Select1st, std::equal_to<std::type_index>, std::hash<std::type_index>, std::__detail::_Mod_range_hashing, std::__detail::_Default_ranged_hash, std::__detail::_Prime_rehash_policy, std::__detail::_Hashtable_traits<false, false, true> >::_M_bucket_index(std::type_index const&, unsigned long) const
  1.42      0.88     0.02  9336692     0.00     0.00  std::hash<std::type_index>::operator()(std::type_index const&) const
